,Season,Week,Team,Day,Date,Unnamed: 3,Unnamed: 4,OT,Unnamed: 6,Opp,Tm,Opp.1,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att.1,Yds.2,Y/A.1,TD.1,FGM,FGA,XPM,XPA,Pnt,Yds.3,3DConv,3DAtt,4DConv,4DAtt,ToP,Week.1,Day.1,Date.1,Unnamed: 3.1,Unnamed: 4.1,OT.1,Unnamed: 6.1,Opp.2,Tm.1,Opp.1.1,Cmp.1,Att.2,Yds.4,TD.2,Int.1,Sk.1,Yds.1.1,Y/A.2,NY/A.1,Cmp%.1,Rate.1,Att.1.1,Yds.2.1,Y/A.1.1,TD.1.1,FGM.1,FGA.1,XPM.1,XPA.1,Pnt.1,Yds.3.1,3DConv.1,3DAtt.1,4DConv.1,4DAtt.1,ToP.1
6134,2021,11,TAM,Mon,November 22,boxscore,W,,,New York Giants,30,10,32,48,308,2,1,1,10,6.6,6.3,66.7,89.6,27,94,3.5,1,3,3,3,3,3,136,6,13,1,1,35:39,11,Mon,November 22,boxscore,W,,,New York Giants,30,10,23,39,149,1,2,2,18,4.3,3.6,59.0,54.3,13,66,5.1,0,1,1,1,1,4,193,1,9,1,3,24:21
6135,2021,12,TAM,Sun,November 28,boxscore,W,,@,Indianapolis Colts,38,31,25,34,217,1,1,2,9,6.6,6.0,73.5,87.5,27,142,5.3,4,1,1,5,5,4,164,2,8,0,0,29:59,12,Sun,November 28,boxscore,W,,@,Indianapolis Colts,38,31,27,44,285,3,2,3,21,7.0,6.1,61.4,84.0,20,107,5.4,1,1,1,4,4,3,134,5,11,2,2,30:01
6136,2021,13,TAM,Sun,December 5,boxscore,W,,@,Atlanta Falcons,30,17,38,51,368,4,1,0,0,7.2,7.2,74.5,112.2,17,57,3.4,0,1,1,3,4,3,133,8,13,1,1,27:14,13,Sun,December 5,boxscore,W,,@,Atlanta Falcons,30,17,30,41,259,0,0,5,38,7.2,5.6,73.2,89.4,23,121,5.3,1,1,1,2,2,5,215,9,17,0,0,32:46
6137,2021,14,TAM,Sun,December 12,boxscore,W,OT,,Buffalo Bills,33,27,31,46,351,2,0,2,12,7.9,7.3,67.4,104.5,29,137,4.7,2,2,2,3,3,5,196,8,16,0,1,32:08,14,Sun,December 12,boxscore,W,OT,,Buffalo Bills,33,27,36,54,293,2,1,3,15,5.7,5.1,66.7,84.9,19,173,9.1,1,2,2,3,3,6,286,2,13,2,3,32:21
6138,2021,15,TAM,Sun,December 19,boxscore,L,,,New Orleans Saints,0,9,26,48,184,0,1,4,30,4.5,3.5,54.2,54.5,21,118,5.6,0,0,1,0,0,8,336,6,19,0,1,30:15,15,Sun,December 19,boxscore,L,,,New Orleans Saints,0,9,13,27,151,0,0,2,3,5.7,5.2,48.1,65.5,31,61,2.0,0,3,3,0,0,9,412,3,16,0,0,29:45
6139,2021,16,TAM,Sun,December 26,boxscore,W,,@,Carolina Panthers,32,6,18,31,232,1,0,0,0,7.5,7.5,58.1,92.4,31,159,5.1,2,4,4,2,2,3,123,7,14,0,0,33:24,16,Sun,December 26,boxscore,W,,@,Carolina Panthers,32,6,22,45,206,0,1,7,45,5.6,4.0,48.9,52.6,15,67,4.5,0,2,2,0,0,5,253,7,18,0,2,26:36
6140,2021,17,TAM,Sun,January 2,boxscore,W,,@,New York Jets,28,24,34,50,405,3,1,1,5,8.2,7.9,68.0,104.2,21,62,3.0,0,2,2,2,2,3,104,9,15,1,1,33:03,17,Sun,January 2,boxscore,W,,@,New York Jets,28,24,19,33,224,1,0,1,10,7.1,6.6,57.6,88.4,26,150,5.8,2,1,1,3,3,4,154,6,11,0,1,26:57
6141,2021,18,TAM,Sun,January 9,boxscore,W,,,Carolina Panthers,41,17,29,39,324,3,0,1,2,8.4,8.1,74.4,124.3,20,85,4.3,2,2,3,5,5,3,133,4,11,1,1,24:55,18,Sun,January 9,boxscore,W,,,Carolina Panthers,41,17,29,43,207,2,1,2,12,5.1,4.6,67.4,84.2,26,110,4.2,0,1,1,2,2,2,85,4,14,2,6,35:05
6667,2022,1,TAM,Sun,September 11,boxscore,W,,@,Dallas Cowboys,19,3,18,27,195,1,1,2,17,7.9,6.7,66.7,84.6,33,152,4.6,0,4,5,1,1,3,152,5,14,0,0,32:42,1,Sun,September 11,boxscore,W,,@,Dallas Cowboys,19,3,21,42,173,0,1,4,25,4.7,3.8,50.0,51.0,18,71,3.9,0,1,1,0,0,5,254,3,15,2,5,27:18
6668,2022,2,TAM,Sun,September 18,boxscore,W,,@,New Orleans Saints,20,10,18,34,188,1,0,1,2,5.6,5.4,52.9,79.0,30,72,2.4,0,2,2,2,2,6,229,5,17,0,1,29:42,2,Sun,September 18,boxscore,W,,@,New Orleans Saints,20,10,25,40,208,1,3,6,28,5.9,4.5,62.5,52.9,20,100,5.0,0,1,1,1,1,5,218,4,13,0,1,30:18
6669,2022,3,TAM,Sun,September 25,boxscore,L,,,Green Bay Packers,12,14,31,42,251,1,0,3,20,6.5,5.6,73.8,96.4,14,34,2.4,0,2,2,0,0,6,297,2,11,1,1,26:35,3,Sun,September 25,boxscore,L,,,Green Bay Packers,12,14,27,35,248,2,1,1,7,7.3,6.9,77.1,103.0,25,67,2.7,0,0,0,2,2,7,339,6,15,0,0,33:25
6670,2022,4,TAM,Sun,October 2,boxscore,L,,,Kansas City Chiefs,31,41,39,52,373,3,0,1,12,7.4,7.0,75.0,113.7,6,3,0.5,1,1,1,4,4,3,125,6,10,0,0,21:22,4,Sun,October 2,boxscore,L,,,Kansas City Chiefs,31,41,23,37,228,3,1,3,21,6.7,5.7,62.2,95.3,37,189,5.1,2,2,2,5,5,1,43,12,17,0,1,38:38
6671,2022,5,TAM,Sun,October 9,boxscore,W,,,Atlanta Falcons,21,15,35,52,351,1,0,0,0,6.8,6.8,67.3,92.7,23,69,3.0,1,2,2,1,1,4,197,9,16,0,1,29:26,5,Sun,October 9,boxscore,W,,,Atlanta Falcons,21,15,14,25,110,1,0,5,37,5.9,3.7,56.0,80.4,31,151,4.9,1,0,1,1,1,6,290,6,14,1,1,30:34
6672,2022,6,TAM,Sun,October 16,boxscore,L,,@,Pittsburgh Steelers,18,20,25,40,229,1,0,2,14,6.1,5.5,62.5,86.4,26,75,2.9,0,4,4,0,0,5,230,4,14,2,2,30:01,6,Sun,October 16,boxscore,L,,@,Pittsburgh Steelers,18,20,20,30,193,2,0,2,18,7.0,6.0,66.7,106.7,29,77,2.7,0,2,2,2,2,5,221,7,15,1,1,29:59
6673,2022,7,TAM,Sun,October 23,boxscore,L,,@,Carolina Panthers,3,21,32,49,276,0,0,1,14,5.9,5.5,65.3,80.0,16,46,2.9,0,1,1,0,0,6,279,2,12,1,3,30:36,7,Sun,October 23,boxscore,L,,@,Carolina Panthers,3,21,16,22,170,2,0,1,7,8.0,7.4,72.7,125.2,27,173,6.4,1,0,0,3,3,7,360,4,12,0,0,29:24
6674,2022,8,TAM,Thu,October 27,boxscore,L,,,Baltimore Ravens,22,27,26,44,305,1,0,3,20,7.4,6.5,59.1,87.8,15,44,2.9,1,3,3,1,1,5,267,4,13,1,1,21:37,8,Thu,October 27,boxscore,L,,,Baltimore Ravens,22,27,27,38,222,2,0,3,16,6.3,5.4,71.1,103.2,33,231,7.0,1,2,3,3,3,4,210,6,13,0,1,38:23
6675,2022,9,TAM,Sun,November 6,boxscore,W,,,Los Angeles Rams,16,13,36,58,272,1,0,1,8,4.8,4.6,62.1,79.1,20,51,2.6,0,3,4,1,1,6,357,9,21,0,2,31:16,9,Sun,November 6,boxscore,W,,,Los Angeles Rams,16,13,13,27,138,1,0,4,27,6.1,4.5,48.1,75.8,24,68,2.8,0,2,2,1,1,9,477,4,15,0,0,28:44
6676,2022,10,TAM,Sun,November 13,boxscore,W,,,Seattle Seahawks,21,16,22,30,258,2,2,0,0,8.6,8.6,73.3,93.5,44,161,3.7,1,0,1,3,3,2,122,10,15,0,0,36:55,10,Sun,November 13,boxscore,W,,,Seattle Seahawks,21,16,23,33,244,2,0,3,31,8.3,6.8,69.7,111.2,14,39,2.8,0,1,1,1,1,5,253,1,9,2,2,23:05
6677,2022,12,TAM,Sun,November 27,boxscore,L,OT,@,Cleveland Browns,17,23,29,43,229,2,0,3,17,5.7,5.0,67.4,96.0,20,96,4.8,0,1,1,2,2,9,425,4,15,1,1,30:37,12,Sun,November 27,boxscore,L,OT,@,Cleveland Browns,17,23,23,37,178,1,1,4,32,5.7,4.3,62.2,71.7,34,189,5.6,2,1,2,2,2,6,329,5,17,2,4,39:04
6678,2022,13,TAM,Mon,December 5,boxscore,W,,,New Orleans Saints,17,16,36,54,274,2,1,1,7,5.2,5.0,66.7,83.4,20,76,3.8,0,1,1,2,2,5,247,8,15,0,0,30:05,13,Mon,December 5,boxscore,W,,,New Orleans Saints,17,16,21,29,232,1,0,2,18,8.6,7.5,72.4,107.3,25,66,2.6,0,3,3,1,1,6,262,5,14,0,0,29:55
6679,2022,14,TAM,Sun,December 11,boxscore,L,,@,San Francisco 49ers,7,35,34,55,253,1,2,0,0,4.6,4.6,61.8,63.7,19,69,3.6,0,0,1,1,1,3,157,4,16,4,7,27:20,14,Sun,December 11,boxscore,L,,@,San Francisco 49ers,7,35,17,23,195,2,0,0,0,8.5,8.5,73.9,128.0,36,209,5.8,3,0,0,5,5,3,134,4,9,1,2,32:40
6680,2022,15,TAM,Sun,December 18,boxscore,L,,,Cincinnati Bengals,23,34,30,44,304,3,2,1,8,7.1,6.8,68.2,91.5,25,92,3.7,0,1,2,2,2,1,51,4,12,2,3,30:35,15,Sun,December 18,boxscore,L,,,Cincinnati Bengals,23,34,27,39,184,4,1,2,16,5.1,4.5,69.2,102.9,21,53,2.5,0,2,2,2,2,4,180,5,13,0,0,29:25
6681,2022,16,TAM,Sun,December 25,boxscore,W,OT,@,Arizona Cardinals,19,16,32,48,281,1,2,0,0,5.9,5.9,66.7,71.6,30,115,3.8,0,4,4,1,1,5,244,6,17,1,2,36:57,16,Sun,December 25,boxscore,W,OT,@,Arizona Cardinals,19,16,25,46,204,0,1,1,17,4.8,4.3,54.3,56.8,27,121,4.5,1,3,3,1,1,7,322,5,19,1,1,29:22
6682,2022,17,TAM,Sun,January 1,boxscore,W,,,Carolina Panthers,30,24,34,45,411,3,0,3,21,9.6,8.6,75.6,125.3,25,67,2.7,1,1,3,1,2,5,227,4,15,2,2,33:10,17,Sun,January 1,boxscore,W,,,Carolina Panthers,30,24,23,37,326,3,1,2,15,9.2,8.4,62.2,106.4,22,74,3.4,0,1,1,3,3,5,251,4,11,1,2,26:50
6683,2022,18,TAM,Sun,January 8,boxscore,L,,@,Atlanta Falcons,17,30,22,34,136,2,0,0,0,4.0,4.0,64.7,92.3,20,86,4.3,0,1,1,2,2,5,253,6,13,0,1,25:11,18,Sun,January 8,boxscore,L,,@,Atlanta Falcons,17,30,19,30,208,2,0,2,16,7.5,6.5,63.3,106.0,35,174,5.0,1,3,3,3,3,3,154,6,15,3,3,34:49
